"","Admitted","Disposition_binary","Place","F_Aid","Species_e","Sex_e","Age_e","Brought_in_after","season","r","Green_Orange","ID","Species_group","Admitted_date"
"3875","6/4/2008","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","3511_ANHU","Non-Selasphorus",2008-06-04
"3876","6/12/2015","Died","malibu","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","6456_ANHU","Non-Selasphorus",2015-06-12
"3877","3/18/2008","Died","Lindsey","Yes","Selasphorus","Male","adult-like",0,"Spring","found on the ground","Selasphorus spp.","3437_RUHU","Selasphorus",2008-03-18
"3878","1/21/2012","Released","Lindsey","No","ANHU","Male","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","4347_ANHU","Non-Selasphorus",2012-01-21
"3879","5/14/2015","Released","malibu","No","Selasphorus","Female-like ","adult-like",0,"Spring","unknown","Selasphorus spp.","6605_ALHU","Selasphorus",2015-05-14
"3880","3/3/1996","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","963_ANHU","Selasphorus",1996-03-03
"3881","7/1/2014","Released","malibu","No","Selasphorus","Female-like ","adult-like",0,"Summer","unknown","Selasphorus spp.","6318_ALHU","Selasphorus",2014-07-01
"3882","3/15/2012","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","4387_ANHU","Selasphorus",2012-03-15
"3883","4/4/2008","Released","Lindsey","No","Selasphorus","Female-like ","adult-like",0,"Spring","window hit","Selasphorus spp.","3456_RUHU","Selasphorus",2008-04-04
"3884","6/20/1991","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","nest-related","Non-selasphorus spp.","128_ANHU","Selasphorus",1991-06-20
"3885","1/7/2003","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","window hit","Non-selasphorus spp.","2364_ANHU","Non-Selasphorus",2003-01-07
"3886","10/27/1997","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","1316_ANHU","Non-Selasphorus",1997-10-27
"3887","4/29/1991","Died","Lindsey","Yes","Selasphorus","Female-like ","adult-like",1,"Spring","found on the ground","Selasphorus spp.","85_ALHU","Selasphorus",1991-04-29
"3888","2/26/2015","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Winter","found on the ground","Non-selasphorus spp.","5191_ANHU","Non-Selasphorus",2015-02-26
"3889","4/19/2015","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","nest-related","Non-selasphorus spp.","5281_ANHU","Non-Selasphorus",2015-04-19
"3890","4/30/2010","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","nest-related","Non-selasphorus spp.","3938_ANHU","Non-Selasphorus",2010-04-30
"3891","10/3/1996","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Fall","unknown","Non-selasphorus spp.","1123_ANHU","Non-Selasphorus",1996-10-03
"3892","3/3/1996","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","962_ANHU","Selasphorus",1996-03-03
"3893","9/5/2009","Died","Lindsey","No","Selasphorus","Male","adult-like",0,"Fall","found on the ground","Selasphorus spp.","3818_ALHU","Selasphorus",2009-09-05
"3894","2/23/1994","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Winter","nest-related","Non-selasphorus spp.","571_ANHU","Selasphorus",1994-02-23
"3895","7/6/2013","Died","malibu","Yes","Selasphorus","unknown","Nestling",0,"Summer","unknown","Selasphorus spp.","5873_ALHU","Selasphorus",2013-07-06
"3896","5/19/2003","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","2490_ANHU","Non-Selasphorus",2003-05-19
"3897","5/1/2014","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","4982_ANHU","Non-Selasphorus",2014-05-01
"3898","2/20/2016","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Winter","nest-related","Non-selasphorus spp.","5496_ANHU","Selasphorus",2016-02-20
"3899","1/25/2015","Died","Lindsey","No","ANHU","Male","adult-like",0,"Winter","window hit","Non-selasphorus spp.","5156_ANHU","Non-Selasphorus",2015-01-25
